Workload,Platform,Project_Name,Node_Type,Nodes,Min_Mem_per_Node_GB,Power_per_Node_kW,Bottleneck,Runtime_h,Work_Units,Interconnect_Sensitivity,Algorithm_Library,Parallel_Framework,Precision
Cryogenic Detector Simulation,El Capitan,LBNL Computational Research Division HPC Lab,GPU,100,289.2317791,6.73181448,IO,5.813021672,92921.73312,Medium,FFTW,HIP,double precision
High Energy Physics Event Simulation,El Capitan,ANL Materials Science Division Simulation Consortium,GPU,109,303.6839969,6.494563322,Compute,5.592948709,88106.97143,Medium,AMReX,HIP,single precision
AI Climate Modeling and Prediction,El Capitan,Brookhaven National Laboratory Collider-Accelerator Department Modeling Team,GPU,105,325.9320387,6.592102046,Memory,5.38362626,84175.06621,High,cuFFT,Kokkos,single precision
Genome-scale Systems Biology,El Capitan,Princeton Plasma Physics Laboratory Simulation Consortium,GPU,103,289.9984382,5.959481693,Compute,5.75454467,92815.81728,Medium,AMReX,CUDA,BF16
Plasma Fusion Simulation,El Capitan,Georgia Tech Computational Combustion Laboratory HPC Lab,GPU,97,269.3911199,6.324155806,IO,5.511501681,93809.77102,Low,FFTW,HIP,single precision
Plasma Fusion Simulation,Frontier,Berkeley Quantum Devices Group Simulation Consortium,Hybrid,104,291.9137711,6.564196324,Comm,6.928875867,70118.05878,Low,MKL,Charm++,mixed precision
Accelerator Beam Dynamics Simulation,Frontier,Columbia University Earth Institute HPC Lab,Hybrid,105,301.0194879,6.050692433,IO,6.109256255,68930.31565,Medium,PETSc,Kokkos,single precision
Plasma Fusion Simulation,Frontier,Fermilab High Energy Physics Division Simulation Consortium,Hybrid,102,304.4548899,6.118681589,IO,6.947109469,75909.39407,Low,Trilinos,Kokkos,double precision
Turbulent Combustion Modeling,Frontier,Brookhaven National Laboratory Collider-Accelerator Department Research Group,Hybrid,113,331.5006871,6.091651324,Compute,6.287478563,78253.42896,High,MFEM,CUDA,AMP
Renewable Energy Systems Optimization,Frontier,MIT Plasma Science and Fusion Center HPC Lab,Hybrid,111,339.9570968,6.248463515,Memory,6.652308497,80013.39581,High,Trilinos,OpenACC,single precision
Cryogenic Detector Simulation,Leonardo,Columbia University Earth Institute Simulation Consortium,GPU,80,251.6258744,6.873111555,IO,4.694388738,77035.27562,Low,Trilinos,HIP,single precision
Turbulent Combustion Modeling,Leonardo,Fermilab High Energy Physics Division HPC Lab,GPU,80,245.4045759,5.961534434,Comm,4.524832425,70220.16412,Medium,MKL,Legion,FP16
Nuclear Structure and Reactions Modeling,Leonardo,University of Illinois NCSA HPC Lab,GPU,74,240.001673,5.966653035,IO,4.997386918,65254.48525,Low,MKL,OpenACC,double precision
Renewable Energy Systems Optimization,Leonardo,University of Chicago Quantum Information Science Group Research Group,GPU,78,254.4792914,6.698188395,Comm,4.923962447,71468.28634,Medium,MFEM,Kokkos,mixed precision
Computational Fluid Dynamics for Energy,Leonardo,Caltech Center for Advanced Computing Simulation Consortium,GPU,82,232.5789379,5.952151444,Compute,4.821109954,75097.05631,Medium,libMesh,Legion,FP16
Renewable Energy Systems Optimization,Aurora,NERSC Data and Analytics Services HPC Lab,Hybrid,122,243.9892566,5.593236072,IO,6.037083081,98092.94654,Low,FFTW,Kokkos,AMP
Accelerator Beam Dynamics Simulation,Aurora,MIT Plasma Science and Fusion Center Research Group,Hybrid,115,234.4063936,5.487955417,IO,6.369334456,95457.23763,Low,PETSc,OpenMP,BF16
Radiation Transport Modeling,Aurora,Harvard Center for the Environment Simulation Consortium,Hybrid,110,234.6784299,5.40911528,Comm,6.571367401,85932.66069,Medium,HYPRE,Charm++,BF16
Renewable Energy Systems Optimization,Aurora,Berkeley Quantum Devices Group Simulation Consortium,Hybrid,127,247.2350461,5.33611694,Comm,6.070191147,98911.08032,Medium,libMesh,HIP,mixed precision
Genome-scale Systems Biology,Aurora,Princeton Plasma Physics Laboratory HPC Lab,Hybrid,119,231.7605744,5.857818026,Compute,6.12607609,90211.70489,High,MKL,UPC++,single precision
Renewable Energy Systems Optimization,El Capitan,Stanford Genome Technology Center HPC Lab,CPU,93,233.3497366,5.788145163,Compute,5.433886224,80415.61852,Medium,FFTW,CUDA,FP16
Radiation Transport Modeling,El Capitan,Caltech Center for Advanced Computing HPC Lab,CPU,98,230.5084252,5.909077442,Memory,5.810060629,72509.60113,Low,AMReX,Kokkos,double precision
